word	frequency
большая	573
пришла	572
как-то	571
новости	570
волнуйся	569
меньше	569
смешно	569
случай	569
воды	568
комнате	567
уходи	565
земле	564
рада	563
клянусь	563
чему	561
любви	561
пришлось	560
джордж	560
истории	558
семья	557
делай	556
майор	556
города	555
письмо	555
девочка	554
улице	554
повезло	552
единственный	552
прекрати	551
ключ	551
старый	551
сукин	551
пожаловать	549
история	548
замечательно	547
начала	546
поможет	544
шоу	544
позвонить	543
честно	543
минуты	543
выглядишь	542
сможет	542
слышали	541
й	541
насчёт	540
умереть	539
недели	536
известно	536
оставь	536
гомер	536
наконец	535
миллионов	533
насколько	532
молодец	531
возьму	531
ваших	531
ехать	529
купить	529
держись	529
вообще-то	529
план	528
другое	528
сержант	528
слышу	527
телефон	525
кого-то	525
макс	525
хотелось	524
спросить	524
самая	524
оставить	521
м-р	521
жив	520
ох	519
связи	519
де	519
убью	518
право	517
мере	517
любой	514
среди	514
обязательно	513
страшно	513
типа	513
представить	513
твоих	512
сына	512
президент	512
конца	511
женщин	510
потерял	510
нечего	509
матери	509
находится	507
работе	506
обещаю	506
тони	506
таком	505
дам	505
покажу	505
замуж	504
удачи	503
своими	502
глаз	502
лейтенант	501
готова	500
стало	499
подарок	499
идёт	499
увидел	498
полицию	496
наверно	496
генерал	496
понравится	495
идиот	495
блядь	495
слышала	494
особенно	493
своё	493
школе	493
такую	492
вопросы	490
билл	490
х	489
нём	489
получится	489
вперёд	489
приехал	488
голос	488
сэм	488
док	487
главное	486
еду	485
мило	485
сих	484
земли	484
твоим	482
вести	482
друзей	482
показать	482
утра	481
делают	480
узнал	479
пойдём	479
оттуда	478
помните	478
силы	478
теб	478
землю	477
будьте	477
моем	476
полностью	474
восемь	474
детка	474
прошло	473
получилось	473
руках	473
блин	472
сидеть	472
джонни	472
всему	472
ужин	472
вместо	471
фильм	471
м	471
познакомиться	470
хочется	468
одним	468
сон	468
старик	468
погоди	467
эдди	466
семьи	465
уверены	465
никакой	465
приказ	463
комнату	462
вернуть	462
т	462
дамы	462
сто	462
секунду	460
спасти	460
поняла	459
твоё	458
отдай	457
задницу	457
абсолютно	456
дороги	455
вещь	455
встречи	454
ребенок	454
невероятно	454
похож	454
пытаюсь	453
никуда	452
вашим	452
двери	452
игра	451
поговорим	450
пошёл	450
мам	450
остановить	449
рано	448
историю	448
людям	448
убийство	448
ублюдок	447
месяц	447
сделаем	447
умерла	447
первым	445
такси	445
попал	444
садись	444
вина	443
остальные	443
пришёл	443
ждет	442
объяснить	442
нашёл	440
согласен	440
искать	440
оставьте	438
человеком	436
месяцев	436
главный	436
питер	436
брось	436
шеф	435
другим	435
попробуй	434
образом	434
гораздо	434
постоянно	434
войны	434
имеешь	433
майкл	433
пить	432
красивая	432
взяли	432
мэм	432
работаю	431
лично	430
думает	430
школу	430
говоря	430
слава	429
мужчины	428
работал	428
фиби	428
расскажи	427
идём	427
хорошие	426
го	426
побери	426
ребенка	425
придет	425
оставил	425
счет	425
игры	425
война	424
держать	423
здравствуй	422
впервые	421
будущее	421
видно	421
свете	421
принять	420
крови	420
беги	420
билли	419
богу	419
встретиться	418
вид	418
забрать	418
стали	418
открыть	418
последние	417
неважно	417
называется	417
открой	416
моему	416
наверняка	415
большие	415
стоять	414
брата	414
господь	414
многие	412
король	412
нашла	411
позвоню	409
рот	409
едем	409
жену	408
последнее	408
крайней	408
каким	407
волосы	406
книги	406
ходить	406
покое	406
решение	405
получается	405
вовсе	405
голова	404
двадцать	404
людьми	403
стойте	403
джеймс	403
увидишь	402
джентльмены	402
вставай	401
сторону	400
часы	400
серьёзно	400
собираешься	399
стала	399
пройти	399
либо	398
кого-нибудь	398
прошлой	398
жду	398
наверху	398
барт	398
настолько	397
начать	396
мужик	396
нашем	396
речь	396
дороге	395
маленькая	395
отличная	394
женой	394
женщину	393
покажи	393
найду	393
прощай	393
боль	393
предложение	392
хватает	391
начал	391
внизу	391
баксов	391
родители	390
правы	390
миль	390
способ	389
становится	389
любил	388
сообщение	388
мысль	388
плевать	388
самолет	388
ключи	387
вопросов	387
удар	386
агент	385
стрелять	385
возможность	384
света	384
удалось	383
стороне	382
тысячи	382
полный	382
солнце	381
дорогу	381
новые	381
ха	380
виноват	380
пожалуй	380
офицер	380
суд	380
боб	380
навсегда	379
нашим	379
близко	379
шериф	379
намного	378
примерно	378
части	378
молодой	378
сюрприз	378
нос	378
просил	378
миллион	378
первое	378
касается	377
выйдет	377
вполне	376
разница	376
цель	376
полицейский	376
одни	376
своем	376
кино	375
росс	375
девочки	374
чушь	374
придурок	373
живет	373
идут	373
весьма	373
ма	373
разумеется	373
прекрасный	372
чувство	372
имел	372
мардж	372
ак	372
трубку	370
ти	370
однако	370
чувствуешь	370
новая	370
никак	369
компании	369
попробовать	369
целый	369
одном	369
книгу	369
слышать	368
пошла	367
прошлом	366
мужа	365
хорошее	365
глупо	365
какую	365
существует	365
другу	364
рассказал	364
скажете	364
жены	364
месяца	363
вашем	363
неделе	363
самой	363
выше	363
готово	363
удовольствием	362
платье	362
вверх	362
мертв	361
инспектор	361
убирайся	360
воду	360
проверить	360
первой	359
купил	359
доктора	359
поезд	359
считаю	359
словно	359
джим	358
вода	357
понадобится	356
вышел	355
случайно	355
собака	355
решили	355
убийца	355
сука	355
начали	354
устал	354
звучит	354
раза	354
уехать	353
другую	353
использовать	353
случится	353
держите	353
убери	352
стану	352
ник	352
слушать	351
слышите	351
ничто	351
своему	351
написано	350
встретимся	349
скажем	349
выход	348
дали	348
подумай	348
сделаешь	348
связь	348
ближе	347
пара	347
вечно	346
телефону	346
роль	346
чувства	346
поле	346
получили	345
выбор	345
поняли	345
всеми	344
сможете	344
которым	344
земля	344
дон	343
оставаться	343
останется	343
компьютер	343
наконец-то	342
расскажу	342
попасть	342
каждого	342
чарльз	342
звонил	341
остался	341
язык	340
поздравляю	340
сигнал	339
понравилось	339
бери	339
поводу	339
курс	339
неприятности	338
провести	338
сила	338
какая-то	338
отцом	338
первая	338
садитесь	338
черта	337
босс	337
нравятся	337
концов	336
отпусти	336
уходите	336
помощи	336
дни	335
нового	335
наверх	335
мэри	335
пап	335
хорошего	334
помогу	334
прочь	334
выходит	334
порядок	334
забыть	333
котором	332
лео	332
отношения	331
вероятно	331
возьмите	331
комната	330
делу	330
этими	330
фбр	329
днем	329
общем	328
договорились	328
продолжай	328
профессор	327
означает	327
живу	326
подумала	326
сил	326
очередь	326
убивать	326
голове	326
д	326
является	325
могло	325
самые	325
каком	324
забыла	324
сделает	324
годы	324
рождество	324
прю	324
нечто	322
подальше	322
лиза	322
поеду	321
внимания	321
магазин	321
слушаю	321
адрес	321
мозги	321
обещал	321
великолепно	320
девушку	320
недель	320
стол	320
джерри	319
игру	319
читать	319
джоуи	319
ждут	318
е	318
пуаро	318
полно	317
счастлив	317
ушел	317
обед	316
занят	316
собирался	316
ищу	316
любить	315
решила	314
необходимо	314
убийства	314
головы	314
море	314
первого	313
встреча	313
легче	313
ждёт	313
поцелуй	313
скажет	313
джимми	313
фредди	313
менее	312
слов	312
проклятье	312
дэвид	312
получишь	311
тюрьме	311
правила	311
заниматься	310
бен	310
везде	310
быстрей	310
продолжайте	310
делали	309
хозяин	309
окно	309
желаю	308
тела	308
мсье	308
верить	307
когда-то	307
помощью	307
планеты	307
все-таки	306
мысли	306
передать	306
ухожу	306
адвокат	305
понятия	305
кусок	305
постой	305
музыка	305
станции	304
системы	304
каждую	304
войти	304
книга	304
одному	304
поехать	304
недавно	303
зато	303
тише	303
разговор	303
приехали	303
вряд	303
веришь	303
э	302
ух	302
потеряли	302
закон	302
состоянии	301
друзьями	301
школы	301
команда	301
совет	301
ть	301
бизнес	300
платить	300
ну-ка	300
какие-то	300
черту	300
жил	299
девушки	299
нью-йорк	299
заметил	299
опасно	298
третий	298
красиво	298
стране	298
дождь	298
весело	298
знакомы	298
лица	298
лучшее	298
срочно	298
сожалею	298
круто	298
любом	297
имеете	297
плохой	297
считает	297
ошибка	296
написал	296
радио	296
парней	295
сумасшедший	295
мужчин	294
мимо	294
делом	294
стоп	294
фунтов	294
даю	293
делаем	293
яйца	293
отличный	293
поверь	292
собирается	292
подождать	292
желание	292
замок	292
кончено	291
код	291
боишься	291
девять	291
семью	291
свидание	290
думают	290
попросить	290
белый	290
узнает	290
начинается	290
бросил	289
откройте	289
тяжело	289
пришло	289
думали	289
пойдет	289
снять	288
маме	288
дурак	288
окна	288
чудесно	288
умею	288
шутка	287
вечера	287
планы	287
обоих	287
вернись	286
позволь	286
костюм	286
волнуйтесь	286
течение	286
позволить	286
мальчика	286
настоящая	286
великий	286
рэй	286
большую	285
уходим	285
дружище	285
семье	285
увижу	285
народ	285
чем-то	285
такими	284
разговаривать	284
узнали	284
получше	283
запах	283
красный	283
ждал	283
память	282
времена	282
вернется	282
бобби	282
взяла	281
смысл	281
ребёнок	281
член	281
новую	280
шутишь	280
золото	280
симпсон	280
очевидно	279
мнение	279
жизнью	279
тюрьму	279
кэтрин	279
прийти	278
играл	278
сожалению	278
думай	278
ушла	278
коммандер	278
квартиру	277
пиво	277
эд	277
список	276
взглянуть	276
смотрю	276
вышла	276
приходит	276
музыку	276
убей	276
женщиной	275
бросить	275
уехал	275
благодаря	275
чудо	275
солдат	275
дочери	275
прекратите	275
двигаться	275
жене	274
последняя	274
ребёнка	274
воздух	274
г	274
позвони	273
парнем	273
шаг	273
принцесса	273
спросил	273
систему	273
твоем	272
украл	272
билет	272
крошка	272
позвонил	271
нет-нет	271
одежду	271
услышать	270
смотрел	270
выбраться	270
л	270
выходи	269
расслабься	269
прием	269
души	269
возле	269
звонок	269
мяч	269
страшного	268
каких	268
головой	268
силу	268
играет	268
заходи	268
уходить	268
моём	267
сомневаюсь	267
поскольку	267
душу	267
причина	266
любят	265
беспокойся	265
штука	265
даст	265
забыли	265
марти	265
лио	265
курсе	264
группа	264
выбора	264
рука	264
нибудь	264
прекрасная	264
скорость	264
повсюду	263
поедем	263
страны	263
считаешь	263
всём	263
танцевать	263
телевизор	263
стив	263
остальное	262
письма	262
информацию	262
новое	261
нож	261
дел	261
класс	261
система	261
документы	261
самых	260
роза	260
ход	260
сша	259
ребят	259
сильнее	259
родился	259
придёт	259
бумаги	259
бабушка	258
армии	258
принесу	258
футов	258
томми	258
моника	258
старая	257
найди	257
захочешь	257
бойся	257
карл	257
дерьма	257
рейчел	257
хорош	256
доказать	256
продолжать	256
встать	255
искал	255
попробую	255
остались	255
жениться	254
забавно	254
бежать	254
отдать	254
заняться	254
звук	254
чертовски	254
старые	254
ввиду	254
филипп	254
марк	254
постели	253
внимательно	253
счастье	253
пива	252
мадемуазель	252
лучшие	252
знак	252
зря	252
мр	252
многое	251
следующей	251
писать	251
скорей	251
ад	251
небольшой	251
работаешь	250
твоему	250
закончил	250
делала	250
задать	250
ситуация	250
принц	249
упал	249
бедный	249
единственная	249
генри	249
новой	248
сердца	248
гости	248
обожаю	247
стоило	247
туалет	246
ого	246
счёт	246
другая	246
офис	245
холодно	245
красивый	245
трое	245
борт	245
войну	244
ошибку	244
вовремя	244
спустя	244
минуточку	244
сообщить	244
секрет	244
звали	244
опасности	243
казалось	243
уши	243
тип	243
медленно	243
секс	243
уберите	242
вновь	242
лошадь	242
закрой	242
добраться	242
фотографии	242
держу	242
пит	242
звезды	242
ветер	242
узнаю	242
станешь	241
умеет	241
умеешь	241
ногу	241
врач	241
трогай	241
столь	241
вышло	241
вечеринка	241
неправильно	241
корабля	241
момента	240
сложно	240
любила	240
оружия	240
сидит	240
достать	240
глазах	240
спит	240
читал	240
начнем	240
тридцать	239
вино	239
положи	239
вашему	239
товарищ	239
миллиона	239
адмирал	239
узнала	238
попросил	238
послал	238
сказано	238
спас	238
сзади	238
счастлива	237
приду	237
принес	237
центр	237
единственное	237
принеси	237
потрясающе	237
зависит	237
убьют	237
комиссар	237
остается	236
лицом	236
руками	236
подходит	236
принадлежит	236
вернулась	235
больницу	235
снаружи	235
еда	235
принести	235
вернемся	235
по-прежнему	235
окей	235
чикаго	235
брать	234
банк	234
улицу	234
лежит	234
чисто	234
карты	234
спал	234
сотни	233
ушёл	233
предложить	233
удовольствие	233
чего-то	233
едет	233
маленькие	233
какое-то	233
помог	232
пятьдесят	232
дорога	232
собираетесь	232
уничтожить	232
ешь	231
останусь	231
интересует	231
работают	231
двоих	231
церкви	231
учитель	231
купер	231
люси	231
живут	230
приходится	230
называют	230
отцу	230
выпьем	230
самым	229
отель	229
мальчики	229
похожи	229
бой	229
предлагаю	229
закончить	229
се	229
найдем	228
оставлю	228
полчаса	228
хуй	228
мамы	227
дитя	227
нью-йорке	227
смогли	227
любите	227
внутрь	227
вечеринку	227
детектив	227
виде	226
появился	226
ответить	226
большинство	226
суда	226
настоящее	225
вызывает	225
сидел	225
слегка	225
цветы	225
святой	225
видимо	225
встречаться	224
представляешь	224
состояние	224
любовью	224
направо	224
автобус	224
рук	224
информация	224
человеку	223
борту	223
высочество	223
звезда	223
задание	223
подруга	222
получит	222
детьми	222
изменить	222
сне	222
разу	222
вернулись	222
сесть	222
сядь	222
идешь	222
псих	222
мечты	221
здоровье	221
поймать	221
маму	221
вещей	221
впереди	221
пойдешь	220
увидите	220
старший	220
долг	220
завтрак	220
кому-то	220
мозг	220
посмотрю	220
драться	220
метров	220
спрашиваю	220
встретил	219
душа	219
трех	219
душе	218
стыдно	218
ерунда	218
естественно	218
кровати	218
рукой	218
едва	218
короля	218
беспокоит	217
заставить	217
клуб	217
начало	217
еды	217
мартин	217
неправда	217
другими	217
действия	217
камень	217
сара	217
встречу	216
правительство	216
дала	216
куча	216
родителей	215
забудьте	215
успокойтесь	215
ван	215
постель	215
умный	215
ла	215
люк	215
женат	214
зубы	214
устроить	214
пытается	214
расскажите	214
рады	214
спятил	214
уходит	214
президента	214
луис	214
дэнни	214
томас	213
сквозь	213
ног	213
командир	213
кольцо	212
считать	212
очки	212
проще	212
налево	212
грузовик	212
назвал	212
встречались	212
джейн	212
