word	frequency
võimatu	508
laev	508
lapse	508
kooli	508
seitse	506
kaheksa	506
ainuke	506
jutt	505
pagan	505
mõistad	505
taas	504
lahkuda	504
läksin	504
kaugele	504
võis	501
nina	501
pask	501
meeldiks	500
korraks	499
kuradima	499
selga	499
terviseks	499
aidake	499
karda	498
nägema	498
imeline	498
näidata	495
vajame	495
paneb	495
tapan	495
liiguta	494
teadsid	493
ajast	493
nendest	492
hakkad	490
kellele	490
otsin	489
leitnant	489
rääkisid	488
leidsid	488
kasu	485
tark	483
kõrvale	483
võtnud	482
tõde	482
selliseid	482
ohtlik	482
kuulen	480
tuhat	480
vähe	480
vajad	479
mil	478
mäng	478
taevas	478
inimese	477
lahke	477
suured	477
puhas	477
autot	475
koha	475
surra	475
magada	474
joey	474
ajaks	472
leidnud	472
relva	471
tapa	470
võtsid	470
pere	470
michael	470
suudan	467
paljud	467
mrs	467
alates	466
paari	465
mõnda	465
sekundit	464
viimase	462
püüan	462
lisa	462
ükski	461
vanemad	461
idioot	461
lõpetage	460
emme	460
ajada	458
saata	458
lahku	458
tuleks	457
armastad	457
james	456
lugeda	455
s	455
väikese	455
plaan	454
häid	454
saite	452
nädalat	452
kuulge	452
tapsid	451
meeldis	450
kõne	449
kõigil	449
söö	449
kutid	449
tooge	446
jookse	446
näib	445
võtad	445
samal	445
muutunud	445
mingil	444
kahjuks	444
kihla	443
ettevaatust	443
muusika	443
ausalt	441
tugev	440
surm	439
viska	439
sööma	438
ühendust	436
uhke	436
saatis	436
halba	436
riided	436
järgmisel	435
täielikult	435
tõuse	435
samas	434
võtsin	432
rahvas	431
vannun	431
peter	431
mary	430
omad	430
charles	430
tohin	430
armastab	429
viib	429
põrgu	429
olite	426
täielik	426
jõudnud	426
arst	426
tõeliselt	425
teisi	425
tohiks	425
unustasin	425
jättis	424
lõpetada	424
mängi	424
mõtlema	424
igavesti	424
tunda	423
otsi	423
leedi	423
segi	423
sellised	422
puhul	421
tundnud	421
põhjust	421
andma	421
soovi	421
otsima	421
tony	421
relvad	419
teavad	419
võimalust	419
rõõm	419
istuge	419
ajab	418
ruumi	417
maksab	417
tühi	417
oskad	417
nägemiseni	417
kuskil	415
t	415
aitan	414
helistada	414
jalad	414
kavatsed	413
tavaline	413
mehi	413
tõtt	413
lõpuni	413
käima	412
toas	412
tõin	412
filmi	411
toob	410
tööta	410
vea	410
perekond	409
vasta	409
panin	408
õnn	408
aimugi	408
eddie	408
litapoeg	408
otsas	407
inglise	407
võiksime	406
sõita	406
lähete	406
telefoni	406
leian	406
seersant	406
keelt	405
elama	405
kõigepealt	405
kohas	404
pikali	404
kuulub	403
koolis	403
linn	403
loe	403
suunas	402
pidid	402
üksinda	401
johnny	401
tüdruku	401
maal	400
printsess	400
valu	399
professor	399
täitsa	399
bob	399
sellesse	398
põhjus	397
kutsun	397
billy	397
naisega	397
miili	396
tunnete	396
tihti	395
muuta	395
boss	394
viige	394
kala	394
vesi	394
tuppa	394
ükskord	393
nädal	393
seis	393
eemal	392
käis	392
andnud	392
punane	392
küsin	391
oligi	390
hallo	389
muutub	388
jätan	387
paneme	387
don	387
jäid	386
eluga	386
nimega	385
vabandan	385
autosse	385
panid	385
pärit	385
siiani	385
läksime	384
vara	384
aastane	384
tapnud	383
jim	383
niisama	383
leidis	383
voodisse	383
jõuab	382
külge	382
teisel	382
laseme	382
david	381
istuda	381
maksma	380
nali	380
ütleme	379
väikest	379
helistas	378
räägivad	378
tüdrukut	378
küsimusi	377
abielluda	376
leidma	375
ime	375
vanaema	375
raamat	375
käisin	374
kirjas	373
ütlevad	373
viie	373
armunud	373
minult	372
kasuta	372
kellegagi	371
vastus	371
tapab	370
arvata	369
vabaks	369
kiirusta	369
halvasti	369
kolmas	368
paul	368
st	368
kaasas	368
arvavad	368
löö	367
kerge	367
katki	367
maksta	367
tuleme	367
sureb	367
õhtut	365
ootame	365
ühes	364
mehega	364
bobby	364
seni	364
bart	364
üheksa	363
andsin	363
räägite	363
üllatus	363
läheks	362
edu	362
lõpetanud	362
jobu	362
häbi	361
tõepoolest	361
suurem	361
alustame	361
juhtuda	359
isiklikult	358
igaüks	358
korralikult	358
la	358
elan	358
hinge	358
tegime	357
algab	357
sinult	357
hullem	356
möödas	356
saadan	356
tädi	356
lahkuma	354
lubage	354
phoebe	354
tuld	353
tegu	352
päevast	352
normaalne	352
telefon	352
kaudu	351
hullu	351
leiame	351
kahte	351
tahaksid	351
tõsta	350
peast	350
jõua	350
teene	350
tagant	349
vihane	349
ray	349
omale	349
elad	348
mängima	348
ross	347
tõttu	346
endiselt	346
ava	346
nädalal	346
l	346
millegi	345
hoiab	345
kaunis	345
sõida	345
tundus	344
põhja	344
võti	344
ent	344
sitapea	344
jõuame	343
käe	343
tervist	342
juurest	342
kätt	342
kukkus	342
antud	341
ootama	341
teadis	341
juuksed	341
ütleks	341
agent	340
sõpru	340
alustada	340
hakata	340
paremale	339
verd	339
puudust	339
de	338
oleksime	338
liigub	338
hoian	338
kähku	338
tunneb	337
probleemi	337
lausa	337
tapma	337
kõva	337
proovin	337
sinul	337
lüüa	336
sõnad	336
koera	336
nick	336
raisk	335
seisma	334
saaksime	334
muu	334
suudab	333
teatud	333
tõi	333
esimesena	333
laura	333
unustanud	332
otsast	332
pidada	332
oodanud	332
laste	331
küsisin	331
näitab	331
oluline	330
lubada	330
üritan	330
kardad	330
andsid	330
lõi	329
jäin	329
vaat	329
rahul	329
üksteist	328
ütlesite	328
peaksite	328
jääme	328
segane	328
esiteks	327
rääkige	327
veri	327
pigem	326
jääma	326
vanaisa	326
ben	326
eelmisel	325
